GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
effort-ranker,org.hjug.metrics,GodClass,6,70,0,0,2,13,0,2,0,2
effort-ranker,org.hjug.metrics,PMDGodClassRuleRunner,29,103,0,4,9,24,2,6,2,4
effort-ranker,org.hjug.metrics,GodClassRanker,0,146,0,6,0,44,0,12,0,9
