GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cost-benefit-calculator,org.hjug.cbc,CostBenefitCalculator,17,186,0,6,6,44,1,9,1,6
cost-benefit-calculator,org.hjug.cbc,RankedDisharmony,0,76,0,0,0,16,0,1,0,1
